Date,Index
10/31/2013,"11977,48"
11/1/2013,"12052,59"
11/4/2013,"12135,71"
11/5/2013,"12151,68"
11/6/2013,"12210,3"
11/7/2013,"12044,94"
11/8/2013,"12232,63"
11/11/2013,"12204,38"
11/12/2013,"12181,22"
11/13/2013,"12252,26"
11/14/2013,"12301,71"
11/15/2013,"12322,48"
11/18/2013,"12407,31"
11/19/2013,"12361,22"
11/20/2013,"12299,47"
11/21/2013,"12472,17"
11/22/2013,"12605,85"
11/25/2013,"12597,46"
11/26/2013,"12697,65"
11/27/2013,"12787,62"
11/29/2013,"12722,54"
12/2/2013,"12626,56"
12/3/2013,"12553,19"
12/4/2013,"12445,1"
12/5/2013,"12449,73"
12/6/2013,"12607,7"
12/9/2013,"12594,06"
12/10/2013,"12543,83"
12/11/2013,"12367,88"
12/12/2013,"12422,24"
12/13/2013,"12443,7"
12/16/2013,"12593,44"
12/17/2013,"12612,66"
12/18/2013,"12782,6"
12/19/2013,"12715,11"
12/20/2013,"12927,82"
12/23/2013,"12952,08"
12/24/2013,"13021,76"
12/26/2013,"13126,8"
12/27/2013,"13077,11"
12/30/2013,"13038,19"
12/31/2013,"13097,03"
1/2/2014,12939
1/3/2014,"12995,3"
1/6/2014,"12967,73"
1/7/2014,"13077,23"
1/8/2014,"13130,75"
1/9/2014,"13224,95"
1/10/2014,"13294,12"
1/13/2014,"13229,91"
1/14/2014,"13314,79"
1/15/2014,"13407,89"
1/16/2014,"13429,3"
1/17/2014,"13413,78"
1/21/2014,"13475,22"
1/22/2014,"13675,64"
1/23/2014,"13485,81"
1/24/2014,"13046,22"
1/27/2014,"13044,98"
1/28/2014,"13115,45"
1/29/2014,"12871,44"
1/30/2014,"12939,85"
1/31/2014,"13016,27"
2/3/2014,"12636,39"
2/4/2014,"12674,27"
2/5/2014,"12655,09"
2/6/2014,"12735,23"
2/7/2014,"12976,08"
2/10/2014,"12908,15"
2/11/2014,"13072,95"
2/12/2014,"13154,09"
2/13/2014,"13238,39"
2/14/2014,"13326,02"
2/18/2014,"13403,03"
2/19/2014,"13270,95"
2/20/2014,"13458,82"
2/21/2014,"13448,54"
2/24/2014,"13578,32"
2/25/2014,"13443,76"
2/26/2014,"13391,16"
2/27/2014,"13525,83"
2/28/2014,"13542,26"
3/3/2014,"13546,99"
3/4/2014,"13813,33"
3/5/2014,"13808,66"
3/6/2014,"13808,93"
3/7/2014,"13816,09"
3/10/2014,"13721,91"
3/11/2014,"13538,78"
3/12/2014,"13532,54"
3/13/2014,"13343,01"
3/14/2014,"13363,23"
3/17/2014,"13506,6"
3/18/2014,"13599,22"
3/19/2014,"13450,78"
3/20/2014,"13459,88"
3/21/2014,"13400,76"
3/24/2014,"13337,3"
3/25/2014,"13435,51"
3/26/2014,"13284,48"
3/27/2014,"13197,45"
3/28/2014,"13296,26"
3/31/2014,"13501,34"
4/1/2014,"13684,8"
4/2/2014,"13753,7"
4/3/2014,"13709,54"
4/4/2014,"13400,53"
4/7/2014,"13191,32"
4/8/2014,"13110,7"
4/9/2014,"13351,06"
4/10/2014,"13024,69"
4/11/2014,"12883,13"
4/14/2014,"12975,63"
4/15/2014,"13112,55"
4/16/2014,13324
4/17/2014,"13471,73"
4/21/2014,"13502,93"
4/22/2014,"13451,86"
4/23/2014,"13575,15"
4/24/2014,"13453,81"
4/25/2014,"13281,18"
4/28/2014,"13225,23"
4/29/2014,"13358,41"
4/30/2014,"13439,05"
5/1/2014,"13420,01"
5/2/2014,"13495,98"
5/5/2014,"13656,39"
5/6/2014,"13489,48"
5/7/2014,"13586,12"
5/8/2014,"13537,02"
5/9/2014,"13569,99"
5/12/2014,"13773,33"
5/13/2014,"13754,33"
5/14/2014,"13555,15"
5/15/2014,"13352,93"
5/16/2014,"13324,82"
5/19/2014,"13373,16"
5/20/2014,"13145,81"
5/21/2014,13224
5/22/2014,"13288,59"
5/23/2014,"13409,65"
5/27/2014,"13503,28"
5/28/2014,"13475,76"
5/29/2014,"13546,96"
5/30/2014,"13569,01"
6/2/2014,"13638,98"
6/3/2014,"13629,2"
6/4/2014,"13663,71"
6/5/2014,"13886,1"
6/6/2014,"13993,54"
6/9/2014,"14094,61"
6/10/2014,"14014,7"
6/11/2014,"13833,53"
6/12/2014,"13676,33"
6/13/2014,"13711,14"
6/16/2014,"13721,44"
6/17/2014,"13705,64"
6/18/2014,"13732,13"
6/19/2014,"13745,3"
6/20/2014,"13756,58"
6/23/2014,"13654,05"
6/24/2014,"13447,07"
6/25/2014,"13460,53"
6/26/2014,"13432,36"
6/27/2014,"13491,24"
6/30/2014,"13401,99"
7/1/2014,"13518,21"
7/2/2014,"13406,91"
7/3/2014,"13482,51"
7/7/2014,"13378,85"
7/8/2014,"13220,19"
7/9/2014,"13273,81"
7/10/2014,"13231,71"
7/11/2014,"13307,55"
7/14/2014,"13425,73"
7/15/2014,"13397,46"
7/16/2014,"13370,84"
7/17/2014,"13202,53"
7/18/2014,"13374,76"
7/21/2014,"13440,34"
7/22/2014,"13474,29"
7/23/2014,"13344,42"
7/24/2014,"13223,1"
7/25/2014,"13093,41"
7/28/2014,"13082,02"
7/29/2014,"12974,94"
7/30/2014,"13010,13"
7/31/2014,"12742,84"
8/1/2014,"12846,9"
8/4/2014,"12828,59"
8/5/2014,"12831,51"
8/6/2014,"12689,32"
8/7/2014,"12699,82"
8/8/2014,"12910,74"
8/11/2014,"12973,82"
8/12/2014,"12892,98"
8/13/2014,"13077,62"
8/14/2014,"13120,36"
8/15/2014,"13115,88"
8/18/2014,"13318,53"
