['2017-10-04', 7963443.57, '67.17', '69.39', '78.11', None]
['2017-10-04', 261670.98, '67.17', '69.39', '78.11', None]
['2017-10-05', 674307.75, '66.88', '69.37', '78.49', None]
['2017-10-05', 228167.0, '66.88', '69.37', '78.49', None]
['2017-10-05', 1138106.39, '66.88', '69.37', '78.49', None]
['2017-10-09', 117560.32, '67.96', '69.86', '78.89', None]
['2017-10-10', 126120.45, '68.22', '70.94', '79.72', None]
['2017-10-12', 106508.0, '69.53', '72.80', '78.83', None]
['2017-10-13', 64275645.12, '69.68', '74.52', '78.80', None]
['2017-10-13', 115740.0, '69.68', '74.52', '78.80', None]
['2017-10-13', 7173854.91, '69.68', '74.52', '78.80', None]
['2017-10-16', 324574.45, '70.27', '73.89', '78.80', None]
['2017-10-16', 85123462.82, '70.27', '73.89', '78.80', None]
['2017-10-16', 610892.56, '70.27', '73.89', '78.80', None]
['2017-10-16', 100855.43, '70.27', '73.89', '78.80', None]
['2017-10-17', 149999.97, '70.76', '73.81', '79.69', None]
['2017-10-17', 196480.9, '70.76', '73.81', '79.69', None]
['2017-10-17', 311937.76, '70.76', '73.81', '79.69', None]
['2017-10-19', 208754.96, '69.82', '73.80', '78.19', None]
['2017-10-19', 123289.0, '69.82', '73.80', '78.19', None]
['2017-10-19', 676115.95, '69.82', '73.80', '78.19', None]
['2017-10-19', 461248.15, '69.82', '73.80', '78.19', None]
['2017-10-20', 572616.0, '69.31', '74.29', '77.92', None]
['2017-10-21', 31983902.0, '69.39', '71.89', '77.92', None]
['2017-10-23', 115740.0, '69.39', '71.89', '77.69', None]
['2017-10-24', 102315.73, '69.37', '71.12', '78.30', None]
['2017-10-25', 142010.1, '68.86', '70.41', '78.54', None]
['2017-10-25', 85123462.82, '68.86', '70.41', '78.54', None]
['2017-10-25', 130089.36, '68.86', '70.41', '78.54', None]
['2017-10-25', 248499.2, '68.86', '70.41', '78.54', None]
['2017-10-27', 282000.0, '70.94', '69.37', '78.63', None]
['2017-10-30', 200856.0, '73.21', '68.90', '78.86', None]
['2017-10-30', 1110000.0, '73.21', '68.90', '78.86', None]
['2017-10-30', 1500000.0, '73.21', '68.90', '78.86', None]
['2017-10-30', 545000.0, '73.21', '68.90', '78.86', None]
['2017-10-31', 718786.0, '72.80', '68.78', '77.85', None]
['2017-10-31', 19277338.0, '72.80', '68.78', '77.85', None]
['2017-11-01', 24643190.94, '74.52', '68.55', '77.73', None]
['2017-11-01', 15986755.19, '74.52', '68.55', '77.73', None]
['2017-11-01', 149850.01, '74.52', '68.55', '77.73', None]
['2017-11-02', 13436500.41, '73.89', '68.15', '78.30', None]
['2017-11-03', 4163798.25, '73.81', '69.69', '77.88', None]
['2017-11-06', 181707202.03, '73.80', '69.39', '74.76', None]
['2017-11-07', 7120533.41, '73.80', '70.16', '71.24', None]
['2017-11-07', 225449.89, '73.80', '70.16', '71.24', None]
['2017-11-07', 3517418.9, '73.80', '70.16', '71.24', None]
['2017-11-07', 489090.01, '73.80', '70.16', '71.24', None]
['2017-11-07', 113320.0, '73.80', '70.16', '71.24', None]
['2017-11-08', 147852.8, '74.29', '72.01', '70.32', None]
['2017-11-08', 124670.74, '74.29', '72.01', '70.32', None]
['2017-11-08', 336755.73, '74.29', '72.01', '70.32', None]
['2017-11-08', 28773958.75, '74.29', '72.01', '70.32', None]
['2017-11-09', 1431046.26, '72.82', '72.44', '70.58', None]
['2017-11-09', 149850.01, '72.82', '72.44', '70.58', None]
['2017-11-09', 105000.0, '72.82', '72.44', '70.58', None]
['2017-11-09', 1277818.65, '72.82', '72.44', '70.58', None]
['2017-11-10', 332965.1, '71.89', '71.61', '69.50', None]
['2017-11-10', 7173854.91, '71.89', '71.61', '69.50', None]
['2017-11-13', 31983902.0, '71.12', '71.59', '71.68', None]
['2017-11-13', 9449163.79, '71.12', '71.59', '71.68', None]
['2017-11-14', 159588.05, '70.41', '72.50', '71.30', None]
['2017-11-14', 6759800.74, '70.41', '72.50', '71.30', None]
['2017-11-15', 225449.89, '69.30', '73.94', '72.32', None]
['2017-11-16', 171521.45, '69.37', '74.51', '72.70', None]
['2017-11-16', 124184.2, '69.37', '74.51', '72.70', None]
['2017-11-16', 101787.49, '69.37', '74.51', '72.70', None]
['2017-11-17', 145693.0, '68.90', '73.99', '72.95', None]
['2017-11-17', 7173854.91, '68.90', '73.99', '72.95', None]
['2017-11-20', 363553.26, '68.78', '74.76', '72.95', None]
['2017-11-20', 512300.0, '68.78', '74.76', '72.95', None]
['2017-11-21', 1350077.0, '68.55', '74.10', '72.79', None]
['2017-11-22', 64275645.12, '68.15', '74.06', '73.52', None]
['2017-11-29', 5571385.6, '72.44', '78.14', '74.77', None]
['2017-11-29', 145149.49, '72.44', '78.14', '74.77', None]
['2017-11-30', 241080.0, '71.61', '77.70', '74.77', None]
['2017-11-30', 241080.0, '71.61', '77.70', '74.77', None]
['2017-11-30', 370312.5, '71.61', '77.70', '74.77', None]
['2017-12-01', 461248.15, '71.61', '77.70', '74.83', None]
['2017-12-02', 102852.12, '71.59', '78.82', '72.74', None]
['2017-12-04', 374884.77, '71.59', '78.82', '74.55', None]
['2017-12-04', 31983902.0, '71.59', '78.82', '74.55', None]
['2017-12-04', 240993.26, '71.59', '78.82', '74.55', None]
['2017-12-04', 138684.34, '71.59', '78.82', '74.55', None]
['2017-12-04', 108096282.19, '71.59', '78.82', '74.55', None]
['2017-12-04', 133351.5, '71.59', '78.82', '74.55', None]
['2017-12-04', 19370838.0, '71.59', '78.82', '74.55', None]
['2017-12-04', 718786.0, '71.59', '78.82', '74.55', None]
['2017-12-04', 248499.2, '71.59', '78.82', '74.55', None]
['2017-12-05', 149850.01, '72.50', '79.75', '74.55', None]
['2017-12-07', 4306448.0, '74.51', '78.61', '76.41', None]
['2017-12-07', 241676.94, '74.51', '78.61', '76.41', None]
['2017-12-07', 286542.79, '74.51', '78.61', '76.41', None]
['2017-12-07', 163673.0, '74.51', '78.61', '76.41', None]
['2017-12-08', 10830505.02, '73.99', '78.73', '76.21', None]
['2017-12-11', 64275645.12, '74.76', '77.80', '79.16', None]
['2017-12-11', 545000.0, '74.76', '77.80', '79.16', None]
['2017-12-11', 102880.49, '74.76', '77.80', '79.16', None]
['2017-12-11', 188843.07, '74.76', '77.80', '79.16', None]
['2017-12-12', 72008831.5, '74.10', '77.93', '79.16', None]
['2017-12-12', 2759307.91, '74.10', '77.93', '79.16', None]
['2017-12-12', 448715.85, '74.10', '77.93', '79.16', None]
['2017-12-13', 190872.0, '74.06', '77.67', '79.42', None]
['2017-12-14', 481245.19, '76.23', '77.49', '79.02', None]
['2017-12-14', 497090.01, '76.23', '77.49', '79.02', None]
['2017-12-14', 3588418.9, '76.23', '77.49', '79.02', None]
['2017-12-14', 331619562.56, '76.23', '77.49', '79.02', None]
['2017-12-15', 1719280.0, '88.49', '77.75', '77.90', None]
['2017-12-18', 220967.1, '81.47', '77.92', '77.88', None]
['2017-12-18', 74614083.45, '81.47', '77.92', '77.88', None]
['2017-12-18', 424757.91, '81.47', '77.92', '77.88', None]
['2017-12-19', 4306448.0, '79.60', '78.11', '77.88', None]
['2017-12-20', 116309412.82, '78.14', '78.49', '77.13', None]
['2017-12-20', 197804.42, '78.14', '78.49', '77.13', None]
['2017-12-21', 497090.01, '77.70', '78.39', '77.76', None]
['2017-12-21', 155738.41, '77.70', '78.39', '77.76', None]
['2017-12-22', 108096282.19, '78.82', '78.89', '78.02', None]
['2017-12-27', 200000.0, '78.61', '78.83', '75.52', None]
['2017-12-27', 204500.0, '78.61', '78.83', '75.52', None]
['2017-12-27', 340785.02, '78.61', '78.83', '75.52', None]
['2017-12-28', 5993577.6, '78.73', '78.83', '76.14', None]
['2017-12-28', 213307.0, '78.73', '78.83', '76.14', None]
['2017-12-28', 505191.88, '78.73', '78.83', '76.14', None]
['2017-12-29', 130089.36, '77.80', '78.80', '74.19', None]
['2017-12-29', 106914.79, '77.80', '78.80', '74.19', None]
['2018-01-02', 181707202.03, '77.93', '79.69', '79.53', None]
['2018-01-02', 181707202.03, '77.93', '79.69', '79.53', None]
['2018-01-02', 181707202.03, '77.93', '79.69', '79.53', None]
['2018-01-03', 27823250.1, '77.67', '78.26', '83.12', None]
['2018-01-03', 163600.0, '77.67', '78.26', '83.12', None]
['2018-01-03', 19407338.0, '77.67', '78.26', '83.12', None]
['2018-01-03', 153667.0, '77.67', '78.26', '83.12', None]
['2018-01-03', 718786.0, '77.67', '78.26', '83.12', None]
['2018-01-03', 104321.0, '77.67', '78.26', '83.12', None]
['2018-01-04', 169732.1, '77.49', '78.19', '83.19', None]
['2018-01-05', 157397.99, '77.75', '77.92', '83.86', None]
['2018-01-08', 1306962.88, '77.92', '77.69', '85.00', None]
['2018-01-09', 232000.0, '77.92', '77.69', '85.00', None]
['2018-01-10', 182416.5, '78.11', '78.30', '83.01', None]
['2018-01-11', 239747.4, '78.49', '78.54', '82.58', None]
['2018-01-11', 4577172.0, '78.49', '78.54', '82.58', None]
['2018-01-12', 344166.0, '78.39', '77.96', '82.19', None]
['2018-01-12', 3757987.0, '78.39', '77.96', '82.19', None]
['2018-01-16', 1124312.04, '79.72', '78.86', '82.56', None]
['2018-01-16', 424757.91, '79.72', '78.86', '82.56', None]
['2018-01-16', 232000.0, '79.72', '78.86', '82.56', None]
['2018-01-16', 162520.8, '79.72', '78.86', '82.56', None]
['2018-01-17', 108096282.19, '78.71', '77.85', '84.14', None]
['2018-01-17', 1016385.95, '78.71', '77.85', '84.14', None]
['2018-01-17', 452161.0, '78.71', '77.85', '84.14', None]
['2018-01-18', 195134.04, '78.83', '77.73', '84.45', None]
['2018-01-19', 4632172.0, '78.80', '78.30', '86.18', None]
['2018-01-23', 104843.66, '79.69', '74.76', '86.08', None]
['2018-01-23', 5801582.93, '79.69', '74.76', '86.08', None]
['2018-01-23', 14093600.28, '79.69', '74.76', '86.08', None]
['2018-01-23', 225449.89, '79.69', '74.76', '86.08', None]
['2018-01-23', 108096282.19, '79.69', '74.76', '86.08', None]
['2018-01-23', 125830.8, '79.69', '74.76', '86.08', None]
['2018-01-23', 120146.49, '79.69', '74.76', '86.08', None]
['2018-01-23', 4632172.0, '79.69', '74.76', '86.08', None]
['2018-01-23', 103644.63, '79.69', '74.76', '86.08', None]
['2018-01-24', 1451246.02, '78.26', '71.24', '86.42', None]
['2018-01-24', 309250.12, '78.26', '71.24', '86.42', None]
['2018-01-25', 1451246.02, '78.19', '70.32', '86.62', None]
['2018-01-25', 569951.0, '78.19', '70.32', '86.62', None]
['2018-01-25', 181707202.03, '78.19', '70.32', '86.62', None]
['2018-01-25', 1520707.0, '78.19', '70.32', '86.62', None]
['2018-01-30', 5993577.6, '78.30', '71.68', '86.75', None]
['2018-01-30', 110387.76, '78.30', '71.68', '86.75', None]
['2018-01-30', 854295.91, '78.30', '71.68', '86.75', None]
['2018-01-31', 115660.0, '78.54', '71.30', '86.75', None]
['2018-02-01', 6349426.67, '77.96', '72.32', '86.95', None]
['2018-02-01', 181707202.03, '77.96', '72.32', '86.95', None]
['2018-02-01', 447020.71, '77.96', '72.32', '86.95', None]
['2018-02-02', 174612.45, '78.63', '72.70', '86.20', None]
['2018-02-05', 142268.33, '78.86', '72.95', '86.53', None]
['2018-02-05', 116309412.82, '78.86', '72.95', '86.53', None]
['2018-02-05', 181707202.03, '78.86', '72.95', '86.53', None]
['2018-02-05', 642992.45, '78.86', '72.95', '86.53', None]
['2018-02-06', 4632172.0, '77.85', '72.79', '86.53', None]
['2018-02-07', 6492677.67, '77.73', '73.52', '86.53', None]
['2018-02-07', 191014.56, '77.73', '73.52', '86.53', None]
['2018-02-07', 126548.72, '77.73', '73.52', '86.53', None]
['2018-02-09', 344166.0, '77.88', '74.50', '87.87', None]
['2018-02-12', 108096282.19, '74.76', '74.13', '90.84', None]
['2018-02-13', 234930887.35, '71.24', '74.77', '90.84', None]
['2018-02-14', 6492677.67, '70.32', '74.83', '90.84', None]
['2018-02-14', 6759800.74, '70.32', '74.83', '90.84', None]
['2018-02-15', 144323.48, '70.58', '72.74', '90.00', None]
['2018-02-21', 38760086.72, '72.32', '76.21', '86.91', None]
['2018-02-21', 19125922.76, '72.32', '76.21', '86.91', None]
['2018-02-21', 199574.5, '72.32', '76.21', '86.91', None]
['2018-02-21', 259461446.51, '72.32', '76.21', '86.91', None]
['2018-02-21', 108096282.19, '72.32', '76.21', '86.91', None]
['2018-02-21', 575808.9, '72.32', '76.21', '86.91', None]
['2018-02-21', 359744.0, '72.32', '76.21', '86.91', None]
['2018-02-21', 156199.98, '72.32', '76.21', '86.91', None]
['2018-02-21', 27887280.88, '72.32', '76.21', '86.91', None]
['2018-02-21', 94096734.11, '72.32', '76.21', '86.91', None]
['2018-02-21', 512300.0, '72.32', '76.21', '86.91', None]
['2018-02-22', 27823250.1, '72.70', '76.88', '86.83', None]
['2018-02-22', 2653186.84, '72.70', '76.88', '86.83', None]
['2018-02-22', 19407338.0, '72.70', '76.88', '86.83', None]
['2018-02-23', 5775943.47, '72.95', '79.16', '85.69', None]
['2018-02-23', 32392855.36, '72.95', '79.16', '85.69', None]
['2018-02-23', 1098728.69, '72.95', '79.16', '85.69', None]
