['2017-10-02', 277258524.0, '308.97', '322.19', '323.15', '88.47B']
['2017-10-02', 972737.0, '308.97', '322.19', '323.15', '88.47B']
['2017-10-02', 184674138.0, '308.97', '322.19', '323.15', '88.47B']
['2017-10-03', 493721.0, '310.69', '320.67', '322.62', '88.47B']
['2017-10-03', 505831.0, '310.69', '320.67', '322.62', '88.47B']
['2017-10-04', 2460560674.0, '311.32', '318.93', '321.52', '88.47B']
['2017-10-04', 14030246.87, '311.32', '318.93', '321.52', '88.47B']
['2017-10-04', 1589606263.98, '311.32', '318.93', '321.52', '88.47B']
['2017-10-05', 540286434.16, '310.37', '318.82', '326.90', '88.47B']
['2017-10-05', 8647969.0, '310.37', '318.82', '326.90', '88.47B']
['2017-10-05', 4235306.33, '310.37', '318.82', '326.90', '88.47B']
['2017-10-05', 739138930.0, '310.37', '318.82', '326.90', '88.47B']
['2017-10-05', 739138930.0, '310.37', '318.82', '326.90', '88.47B']
['2017-10-05', 112794.23, '310.37', '318.82', '326.90', '88.47B']
['2017-10-05', 372292673.0, '310.37', '318.82', '326.90', '88.47B']
['2017-10-05', 518068086.0, '310.37', '318.82', '326.90', '88.47B']
['2017-10-05', 5601352679.0, '310.37', '318.82', '326.90', '88.47B']
['2017-10-05', 7139998.0, '310.37', '318.82', '326.90', '88.47B']
['2017-10-05', 279013899.91, '310.37', '318.82', '326.90', '88.47B']
['2017-10-05', 16749199.23, '310.37', '318.82', '326.90', '88.47B']
['2017-10-10', 409898843.0, '314.02', '321.56', '331.83', '88.47B']
['2017-10-10', 277258524.0, '314.02', '321.56', '331.83', '88.47B']
['2017-10-10', 20062452.83, '314.02', '321.56', '331.83', '88.47B']
['2017-10-10', 590000.0, '314.02', '321.56', '331.83', '88.47B']
['2017-10-10', 23132023.53, '314.02', '321.56', '331.83', '88.47B']
['2017-10-10', 8422668.0, '314.02', '321.56', '331.83', '88.47B']
['2017-10-11', 330749806.99, '314.10', '317.00', '333.74', '88.47B']
['2017-10-11', 158367.27, '314.10', '317.00', '333.74', '88.47B']
['2017-10-11', 5298560.98, '314.10', '317.00', '333.74', '88.47B']
['2017-10-11', 16545859.0, '314.10', '317.00', '333.74', '88.47B']
['2017-10-12', 9415216.73, '315.29', '315.96', '332.08', '88.47B']
['2017-10-12', 6734459.0, '315.29', '315.96', '332.08', '88.47B']
['2017-10-12', 501402.18, '315.29', '315.96', '332.08', '88.47B']
['2017-10-12', 67613218.08, '315.29', '315.96', '332.08', '88.47B']
['2017-10-12', 11065794.0, '315.29', '315.96', '332.08', '88.47B']
['2017-10-12', 5624637354.73, '315.29', '315.96', '332.08', '88.47B']
['2017-10-13', 910756.8, '316.46', '314.42', '336.35', '88.47B']
['2017-10-13', 8647969.0, '316.46', '314.42', '336.35', '88.47B']
['2017-10-13', 277258524.0, '316.46', '314.42', '336.35', '88.47B']
['2017-10-13', 198150.0, '316.46', '314.42', '336.35', '88.47B']
['2017-10-16', 27352672.0, '318.34', '310.38', '336.35', '88.47B']
['2017-10-17', 2734537.58, '318.32', '310.42', '336.67', '88.47B']
['2017-10-17', 71957813.0, '318.32', '310.42', '336.67', '88.47B']
['2017-10-17', 277258524.0, '318.32', '310.42', '336.67', '88.47B']
['2017-10-17', 163964476.83, '318.32', '310.42', '336.67', '88.47B']
['2017-10-17', 6044172.0, '318.32', '310.42', '336.67', '88.47B']
['2017-10-17', 394240.0, '318.32', '310.42', '336.67', '88.47B']
['2017-10-18', 2358718.0, '318.80', '309.83', '335.74', '88.47B']
['2017-10-18', 333293.0, '318.80', '309.83', '335.74', '88.47B']
['2017-10-18', 2899427.58, '318.80', '309.83', '335.74', '88.47B']
['2017-10-18', 511153.0, '318.80', '309.83', '335.74', '88.47B']
['2017-10-18', 5624637354.73, '318.80', '309.83', '335.74', '88.47B']
['2017-10-19', 11931192.0, '321.56', '309.66', '335.92', '88.47B']
['2017-10-19', 255750.0, '321.56', '309.66', '335.92', '88.47B']
['2017-10-20', 2460560674.0, '322.19', '310.86', '334.89', '88.47B']
['2017-10-20', 179496270.0, '322.19', '310.86', '334.89', '88.47B']
['2017-10-20', 37360344.0, '322.19', '310.86', '334.89', '88.47B']
['2017-10-20', 5601352679.0, '322.19', '310.86', '334.89', '88.47B']
['2017-10-20', 371340.94, '322.19', '310.86', '334.89', '88.47B']
['2017-10-20', 76190734.55, '322.19', '310.86', '334.89', '88.47B']
['2017-10-20', 5645295078.47, '322.19', '310.86', '334.89', '88.47B']
['2017-10-23', 184674138.0, '320.67', '311.85', '332.70', '88.47B']
['2017-10-23', 76190734.55, '320.67', '311.85', '332.70', '88.47B']
['2017-10-23', 76190734.55, '320.67', '311.85', '332.70', '88.47B']
['2017-10-24', 10271439.0, '318.93', '311.93', '331.15', '88.47B']
['2017-10-24', 558232.38, '318.93', '311.93', '331.15', '88.47B']
['2017-10-24', 238599.0, '318.93', '311.93', '331.15', '88.47B']
['2017-10-25', 71957813.0, '318.82', '313.37', '332.48', '88.47B']
['2017-10-25', 32876925.0, '318.82', '313.37', '332.48', '88.47B']
['2017-10-25', 184674138.0, '318.82', '313.37', '332.48', '88.47B']
['2017-10-26', 2460565.32, '317.07', '315.70', '335.19', '88.47B']
['2017-10-26', 1040477.21, '317.07', '315.70', '335.19', '88.47B']
['2017-10-26', 11931192.0, '317.07', '315.70', '335.19', '88.47B']
['2017-10-26', 48050136.0, '317.07', '315.70', '335.19', '88.47B']
['2017-10-26', 76190734.55, '317.07', '315.70', '335.19', '88.47B']
['2017-10-27', 493721.0, '320.00', '315.06', '345.11', '88.47B']
['2017-10-27', 71957813.0, '320.00', '315.06', '345.11', '88.47B']
['2017-10-27', 739138930.0, '320.00', '315.06', '345.11', '88.47B']
['2017-10-27', 505594.0, '320.00', '315.06', '345.11', '88.47B']
['2017-10-27', 1589606263.98, '320.00', '315.06', '345.11', '88.47B']
['2017-10-27', 13438811.0, '320.00', '315.06', '345.11', '88.47B']
['2017-10-27', 76190734.55, '320.00', '315.06', '345.11', '88.47B']
['2017-10-30', 127958098.0, '321.56', '311.68', '354.32', '88.47B']
['2017-10-30', 8647969.0, '321.56', '311.68', '354.32', '88.47B']
['2017-10-30', 8419668.0, '321.56', '311.68', '354.32', '88.47B']
['2017-10-30', 5970289.41, '321.56', '311.68', '354.32', '88.47B']
['2017-10-30', 326589.56, '321.56', '311.68', '354.32', '88.47B']
['2017-10-31', 4774005.0, '317.00', '313.28', '352.72', '88.47B']
['2017-10-31', 106981361.24, '317.00', '313.28', '352.72', '88.47B']
['2017-10-31', 109002151.24, '317.00', '313.28', '352.72', '88.47B']
['2017-10-31', 1815558.0, '317.00', '313.28', '352.72', '88.47B']
['2017-10-31', 4671511.52, '317.00', '313.28', '352.72', '88.47B']
['2017-10-31', 369724.49, '317.00', '313.28', '352.72', '88.47B']
['2017-10-31', 8863734.0, '317.00', '313.28', '352.72', '88.47B']
['2017-10-31', 8368832.0, '317.00', '313.28', '352.72', '88.47B']
['2017-10-31', 1277983.04, '317.00', '313.28', '352.72', '88.47B']
['2017-10-31', 123354.0, '317.00', '313.28', '352.72', '88.47B']
['2017-10-31', 515993886.0, '317.00', '313.28', '352.72', '88.47B']
['2017-11-01', 130000.0, '315.96', '314.00', '358.52', '73.60B']
['2017-11-01', 100137133.01, '315.96', '314.00', '358.52', '73.60B']
['2017-11-01', 993155.0, '315.96', '314.00', '358.52', '73.60B']
['2017-11-02', 97565887.54, '314.42', '313.78', '361.79', '73.60B']
['2017-11-02', 2544036.32, '314.42', '313.78', '361.79', '73.60B']
['2017-11-02', 7786451.0, '314.42', '313.78', '361.79', '73.60B']
['2017-11-02', 24175867.0, '314.42', '313.78', '361.79', '73.60B']
['2017-11-02', 10402682.0, '314.42', '313.78', '361.79', '73.60B']
['2017-11-02', 1447614.0, '314.42', '313.78', '361.79', '73.60B']
['2017-11-02', 1589606263.98, '314.42', '313.78', '361.79', '73.60B']
['2017-11-02', 170000.0, '314.42', '313.78', '361.79', '73.60B']
['2017-11-03', 109002151.24, '310.38', '312.80', '358.00', '73.60B']
['2017-11-03', 1635000.0, '310.38', '312.80', '358.00', '73.60B']
['2017-11-03', 26458928.0, '310.38', '312.80', '358.00', '73.60B']
['2017-11-06', 2190804.0, '310.42', '312.43', '353.99', '73.60B']
['2017-11-06', 794625.0, '310.42', '312.43', '353.99', '73.60B']
['2017-11-06', 18648968.0, '310.42', '312.43', '353.99', '73.60B']
['2017-11-07', 148000.0, '309.83', '315.57', '340.01', '73.60B']
['2017-11-07', 109002151.24, '309.83', '315.57', '340.01', '73.60B']
['2017-11-07', 480000.0, '309.83', '315.57', '340.01', '73.60B']
['2017-11-07', 736211.0, '309.83', '315.57', '340.01', '73.60B']
['2017-11-07', 2160439.0, '309.83', '315.57', '340.01', '73.60B']
['2017-11-07', 4171286.8, '309.83', '315.57', '340.01', '73.60B']
['2017-11-07', 22814925.0, '309.83', '315.57', '340.01', '73.60B']
['2017-11-07', 354684.0, '309.83', '315.57', '340.01', '73.60B']
['2017-11-07', 887806.0, '309.83', '315.57', '340.01', '73.60B']
['2017-11-07', 422082.12, '309.83', '315.57', '340.01', '73.60B']
['2017-11-08', 298380440.0, '309.66', '317.62', '350.34', '73.60B']
['2017-11-08', 8422668.0, '309.66', '317.62', '350.34', '73.60B']
['2017-11-08', 55500000.0, '309.66', '317.62', '350.34', '73.60B']
['2017-11-08', 163964476.83, '309.66', '317.62', '350.34', '73.60B']
['2017-11-08', 156990.15, '309.66', '317.62', '350.34', '73.60B']
['2017-11-08', 146639214.83, '309.66', '317.62', '350.34', '73.60B']
['2017-11-09', 186163.05, '310.86', '316.86', '350.99', '73.60B']
['2017-11-13', 555494.0, '311.93', '316.89', '348.47', '73.60B']
['2017-11-13', 282451.94, '311.93', '316.89', '348.47', '73.60B']
['2017-11-13', 196821.0, '311.93', '316.89', '348.47', '73.60B']
['2017-11-13', 82336559.74, '311.93', '316.89', '348.47', '73.60B']
['2017-11-13', 89580749.0, '311.93', '316.89', '348.47', '73.60B']
['2017-11-13', 1239779.07, '311.93', '316.89', '348.47', '73.60B']
['2017-11-13', 1067497.0, '311.93', '316.89', '348.47', '73.60B']
['2017-11-13', 777976.0, '311.93', '316.89', '348.47', '73.60B']
['2017-11-13', 1198423.0, '311.93', '316.89', '348.47', '73.60B']
['2017-11-14', 7842649.0, '313.37', '319.43', '351.06', '73.60B']
['2017-11-14', 3748452.47, '313.37', '319.43', '351.06', '73.60B']
['2017-11-14', 128126.93, '313.37', '319.43', '351.06', '73.60B']
['2017-11-14', 834480.87, '313.37', '319.43', '351.06', '73.60B']
['2017-11-14', 2344620.65, '313.37', '319.43', '351.06', '73.60B']
['2017-11-14', 1023122.0, '313.37', '319.43', '351.06', '73.60B']
['2017-11-14', 485345.58, '313.37', '319.43', '351.06', '73.60B']
['2017-11-14', 3757177.0, '313.37', '319.43', '351.06', '73.60B']
['2017-11-14', 4043185.0, '313.37', '319.43', '351.06', '73.60B']
['2017-11-15', 3190307.1, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 352263.0, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 109002151.24, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 2650000.0, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 3748452.47, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 119887.87, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 123400.0, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 527784302.95, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 145720.0, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 43414609.0, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 270835.0, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 124740.0, '315.70', '321.21', '355.39', '73.60B']
['2017-11-15', 33606550.0, '315.70', '321.21', '355.39', '73.60B']
['2017-11-16', 14276976.0, '315.06', '320.94', '361.02', '73.60B']
['2017-11-16', 3355770.0, '315.06', '320.94', '361.02', '73.60B']
['2017-11-16', 109002151.24, '315.06', '320.94', '361.02', '73.60B']
['2017-11-16', 145820.0, '315.06', '320.94', '361.02', '73.60B']
['2017-11-16', 72735243.39, '315.06', '320.94', '361.02', '73.60B']
['2017-11-16', 423990.0, '315.06', '320.94', '361.02', '73.60B']
['2017-11-16', 525327.62, '315.06', '320.94', '361.02', '73.60B']
['2017-11-17', 29325911.34, '311.68', '320.94', '363.00', '73.60B']
['2017-11-17', 330749806.99, '311.68', '320.94', '363.00', '73.60B']
['2017-11-17', 301214842.0, '311.68', '320.94', '363.00', '73.60B']
['2017-11-17', 8422668.0, '311.68', '320.94', '363.00', '73.60B']
['2017-11-20', 5102026.0, '313.28', '319.63', '363.00', '73.60B']
['2017-11-20', 48050136.0, '313.28', '319.63', '363.00', '73.60B']
['2017-11-20', 11065794.0, '313.28', '319.63', '363.00', '73.60B']
['2017-11-21', 112756.8, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 72424541.0, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 8647969.0, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 3764627.0, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 4442164.0, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 186163.05, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 899925689.5, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 20076943.97, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 607357.72, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 1815558.0, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 527784302.95, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 9168788.0, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 2661235.0, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 76190734.55, '314.00', '316.52', '362.67', '73.60B']
['2017-11-21', 478523.0, '314.00', '316.52', '362.67', '73.60B']
['2017-11-22', 148760.0, '313.78', '314.50', '362.98', '73.60B']
['2017-11-22', 750000.0, '313.78', '314.50', '362.98', '73.60B']
['2017-11-22', 21070528.99, '313.78', '314.50', '362.98', '73.60B']
['2017-11-22', 6936666.0, '313.78', '314.50', '362.98', '73.60B']
['2017-11-22', 889000.0, '313.78', '314.50', '362.98', '73.60B']
['2017-11-22', 232617.0, '313.78', '314.50', '362.98', '73.60B']
['2017-11-22', 184674138.0, '313.78', '314.50', '362.98', '73.60B']
['2017-11-27', 72424541.0, '315.57', '316.56', '361.32', '73.60B']
['2017-11-27', 1778651.0, '315.57', '316.56', '361.32', '73.60B']
['2017-11-27', 674105.0, '315.57', '316.56', '361.32', '73.60B']
['2017-11-27', 255750.0, '315.57', '316.56', '361.32', '73.60B']
['2017-11-27', 5102026.0, '315.57', '316.56', '361.32', '73.60B']
['2017-11-28', 6273699.04, '317.62', '317.24', '362.32', '73.60B']
['2017-11-28', 2256358.5, '317.62', '317.24', '362.32', '73.60B']
['2017-11-28', 435739.9, '317.62', '317.24', '362.32', '73.60B']
['2017-11-28', 15722587.0, '317.62', '317.24', '362.32', '73.60B']
['2017-11-28', 792178.0, '317.62', '317.24', '362.32', '73.60B']
['2017-11-29', 2358718.0, '316.86', '316.90', '362.32', '73.60B']
['2017-11-29', 97148136.02, '316.86', '316.90', '362.32', '73.60B']
['2017-11-29', 1396060.02, '316.86', '316.90', '362.32', '73.60B']
['2017-11-29', 12733297.0, '316.86', '316.90', '362.32', '73.60B']
['2017-11-29', 225333007.88, '316.86', '316.90', '362.32', '73.60B']
['2017-11-29', 76190734.55, '316.86', '316.90', '362.32', '73.60B']
['2017-11-29', 16545859.0, '316.86', '316.90', '362.32', '73.60B']
['2017-11-30', 10474307.0, '316.23', '319.83', '362.32', '73.60B']
['2017-11-30', 10676325.0, '316.23', '319.83', '362.32', '73.60B']
['2017-11-30', 785957.04, '316.23', '319.83', '362.32', '73.60B']
['2017-11-30', 8368832.0, '316.23', '319.83', '362.32', '73.60B']
['2017-11-30', 8863734.0, '316.23', '319.83', '362.32', '73.60B']
['2017-11-30', 77442057.23, '316.23', '319.83', '362.32', '73.60B']
['2017-11-30', 225333007.88, '316.23', '319.83', '362.32', '73.60B']
['2017-12-01', 211733681.75, '316.23', '319.83', '359.20', '73.60B']
['2017-12-01', 15182310.0, '316.23', '319.83', '359.20', '73.60B']
['2017-12-01', 21070528.99, '316.23', '319.83', '359.20', '73.60B']
['2017-12-01', 1001148.0, '316.23', '319.83', '359.20', '73.60B']
['2017-12-01', 1707258.0, '316.23', '319.83', '359.20', '73.60B']
['2017-12-04', 6999112.0, '316.89', '319.03', '342.85', '73.60B']
['2017-12-04', 511153.0, '316.89', '319.03', '342.85', '73.60B']
['2017-12-04', 420728.0, '316.89', '319.03', '342.85', '73.60B']
['2017-12-04', 2734537.58, '316.89', '319.03', '342.85', '73.60B']
['2017-12-04', 511153.0, '316.89', '319.03', '342.85', '73.60B']
['2017-12-04', 2734537.58, '316.89', '319.03', '342.85', '73.60B']
['2017-12-04', 420728.0, '316.89', '319.03', '342.85', '73.60B']
['2017-12-04', 3748452.47, '316.89', '319.03', '342.85', '73.60B']
['2017-12-04', 500880.0, '316.89', '319.03', '342.85', '73.60B']
['2017-12-04', 338243.0, '316.89', '319.03', '342.85', '73.60B']
['2017-12-04', 120000.0, '316.89', '319.03', '342.85', '73.60B']
['2017-12-05', 3190307.1, '319.43', '323.38', '342.85', '73.60B']
['2017-12-05', 5998999.99, '319.43', '323.38', '342.85', '73.60B']
['2017-12-05', 409898843.0, '319.43', '323.38', '342.85', '73.60B']
['2017-12-05', 1040477.21, '319.43', '323.38', '342.85', '73.60B']
['2017-12-05', 5601352679.0, '319.43', '323.38', '342.85', '73.60B']
['2017-12-05', 991078.0, '319.43', '323.38', '342.85', '73.60B']
['2017-12-05', 145720.0, '319.43', '323.38', '342.85', '73.60B']
['2017-12-05', 805402.0, '319.43', '323.38', '342.85', '73.60B']
['2017-12-05', 143452.0, '319.43', '323.38', '342.85', '73.60B']
['2017-12-05', 958538.0, '319.43', '323.38', '342.85', '73.60B']
['2017-12-06', 10474307.0, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 137366.0, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 97417321.02, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 97417321.02, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 97417321.02, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 10271439.0, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 7841149.0, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 330749806.99, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 72424541.0, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 527784302.95, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 177167.24, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 422082.12, '321.21', '323.94', '342.78', '73.60B']
['2017-12-06', 141814.0, '321.21', '323.94', '342.78', '73.60B']
['2017-12-07', 109687501.24, '320.94', '323.13', '343.99', '73.60B']
['2017-12-07', 422265.0, '320.94', '323.13', '343.99', '73.60B']
['2017-12-07', 270000.0, '320.94', '323.13', '343.99', '73.60B']
['2017-12-07', 5859687768.68, '320.94', '323.13', '343.99', '73.60B']
['2017-12-07', 516462.36, '320.94', '323.13', '343.99', '73.60B']
['2017-12-08', 98494635.02, '319.63', '321.26', '343.19', '73.60B']
['2017-12-08', 98494635.02, '319.63', '321.26', '343.19', '73.60B']
['2017-12-08', 266958.0, '319.63', '321.26', '343.19', '73.60B']
['2017-12-08', 330749806.99, '319.63', '321.26', '343.19', '73.60B']
['2017-12-08', 3625863.0, '319.63', '321.26', '343.19', '73.60B']
['2017-12-11', 73547186.0, '316.52', '319.24', '342.56', '73.60B']
['2017-12-11', 1100812.78, '316.52', '319.24', '342.56', '73.60B']
['2017-12-11', 110233.44, '316.52', '319.24', '342.56', '73.60B']
['2017-12-11', 1191664.61, '316.52', '319.24', '342.56', '73.60B']
['2017-12-11', 792178.0, '316.52', '319.24', '342.56', '73.60B']
['2017-12-12', 46907178.0, '314.50', '319.77', '342.56', '73.60B']
['2017-12-12', 2475691343.0, '314.50', '319.77', '342.56', '73.60B']
['2017-12-12', 540286434.16, '314.50', '319.77', '342.56', '73.60B']
['2017-12-12', 15394000.0, '314.50', '319.77', '342.56', '73.60B']
['2017-12-12', 443447534.91, '314.50', '319.77', '342.56', '73.60B']
['2017-12-13', 32876925.0, '313.07', '319.67', '341.35', '73.60B']
['2017-12-14', 6999112.0, '315.36', '322.30', '335.91', '73.60B']
['2017-12-14', 3190307.1, '315.36', '322.30', '335.91', '73.60B']
['2017-12-14', 98494635.02, '315.36', '322.30', '335.91', '73.60B']
['2017-12-14', 382289927.06, '315.36', '322.30', '335.91', '73.60B']
['2017-12-14', 11931192.0, '315.36', '322.30', '335.91', '73.60B']
['2017-12-14', 2603178.0, '315.36', '322.30', '335.91', '73.60B']
['2017-12-14', 119498.0, '315.36', '322.30', '335.91', '73.60B']
['2017-12-14', 802726.77, '315.36', '322.30', '335.91', '73.60B']
['2017-12-15', 9415216.73, '316.56', '323.15', '336.38', '73.60B']
['2017-12-15', 238040.74, '316.56', '323.15', '336.38', '73.60B']
['2017-12-15', 2900000.0, '316.56', '323.15', '336.38', '73.60B']
['2017-12-15', 4758075.72, '316.56', '323.15', '336.38', '73.60B']
['2017-12-15', 3499000.0, '316.56', '323.15', '336.38', '73.60B']
['2017-12-15', 777976.0, '316.56', '323.15', '336.38', '73.60B']
['2017-12-18', 1589606263.98, '317.24', '322.62', '334.35', '73.60B']
['2017-12-18', 5298560.98, '317.24', '322.62', '334.35', '73.60B']
['2017-12-18', 7995900.0, '317.24', '322.62', '334.35', '73.60B']
['2017-12-18', 14479557.82, '317.24', '322.62', '334.35', '73.60B']
['2017-12-19', 5511077.0, '316.90', '321.52', '334.35', '73.60B']
['2017-12-19', 555494.0, '316.90', '321.52', '334.35', '73.60B']
['2017-12-19', 204476269.0, '316.90', '321.52', '334.35', '73.60B']
['2017-12-19', 1023122.0, '316.90', '321.52', '334.35', '73.60B']
['2017-12-19', 2900000.0, '316.90', '321.52', '334.35', '73.60B']
['2017-12-19', 22008624.0, '316.90', '321.52', '334.35', '73.60B']
['2017-12-19', 853668.29, '316.90', '321.52', '334.35', '73.60B']
['2017-12-20', 1950000.0, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 2376130.0, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 3355770.0, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 98494635.02, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 98494635.02, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 5710168.2, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 55396173.0, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 739138930.0, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 3346258.0, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 2900000.0, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 52956107.76, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 318352.76, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 163964476.83, '319.83', '326.90', '336.23', '73.60B']
['2017-12-20', 12628126.0, '319.83', '326.90', '336.23', '73.60B']
['2017-12-21', 3190307.1, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 46907178.0, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 352263.0, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 6000589.48, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 330749806.99, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 332282834.0, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 100137133.01, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 5601352679.0, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 5601352679.0, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 13927168.0, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 501402.18, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 423990.0, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 225333007.88, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 76190734.55, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 76190734.55, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 76190734.55, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 1247657.41, '319.03', '330.18', '339.50', '73.60B']
['2017-12-21', 16545859.0, '319.03', '330.18', '339.50', '73.60B']
['2017-12-22', 106981361.24, '323.38', '330.41', '338.73', '73.60B']
['2017-12-22', 1471311.03, '323.38', '330.41', '338.73', '73.60B']
